Identifier,Method,Dispersion,Basis set,Number of primitive basis functions,RAM used (MB),Number of CPU cores used,Charge,Multiplicity,Error Code,wallclock time taken (seconds),Number of Optimisation Steps,Electronic Energy (Eh),Gibbs Free Energy (Eh),Enthalpy (Eh),Entropy (Eh),Spin Contaimination (<S**2>),Vibrational Frequency 6 (cm-1)
a76,rhf m06-2x,,"{'C': 'def2-svp', 'F': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",166,2282,6,0,1,,14,,-940.1949488385171,,,,,
a27,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",114,2774,6,0,1,,7,,-307.11611514866354,,,,,
a85,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",100,2584,6,0,1,,7,,-232.17030946618806,,,,,
a13,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",100,2507,6,1,1,,6,,-248.64036174739454,,,,,
a42,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",223,3042,6,1,1,,38,,-572.5181490190548,,,,,
a1,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",138,3526,6,1,1,,11,,-436.62377867281293,,,,,
a52,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",119,3052,6,1,1,,9,,-303.7554707568419,,,,,
a37,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp'}",38,614,6,1,1,,1,,-343.413407760183,,,,,
a66,rhf m06-2x,,"{'I': 'def2-svp', 'H': 'def2-svp'}",28,348,6,0,1,,1,,-298.21652107370915,,,,,
a18,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",207,3298,6,0,1,,32,,-919.9248826801391,,,,,
a49,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",95,2381,6,1,1,,5,,-227.58885565535132,,,,,
a59,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",132,2358,6,1,1,,9,,-252.04683785411927,,,,,
a28,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",53,789,6,-1,1,,2,,-264.2433699471989,,,,,
a79,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",29,411,6,0,1,,1,,-93.31845772274251,,,,,
a69,rhf m06-2x,,"{'F': 'def2-svp', 'H': 'def2-svp'}",17,269,6,0,1,,1,,-100.32379042675453,,,,,
a38,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",126,3088,6,1,1,,8,,-324.5105173673099,,,,,
a29,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",72,1488,6,0,1,,3,,-477.7641213772774,,,,,
a78,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",124,3279,6,0,1,,8,,-345.38296338503915,,,,,
a68,rhf m06-2x,,"{'Cl': 'def2-svp', 'H': 'def2-svp'}",23,278,6,0,1,,1,,-460.64058288638864,,,,,
a39,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",56,1003,6,1,1,,2,,-132.99332806627183,,,,,
a19,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",81,1409,6,0,1,,3,,-643.6949065694374,,,,,
a48,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",85,1920,6,1,1,,4,,-226.41838905195914,,,,,
a58,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",120,3603,6,1,1,,8,,-213.97096046945802,,,,,
a88,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",78,1760,6,0,1,,3,,-192.91696332618278,,,,,
a8,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",86,1613,6,0,1,,4,,-663.8558398272563,,,,,
a9,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",49,982,6,1,1,,2,,-115.98034028136097,,,,,
a89,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",148,2415,6,0,1,,12,,-347.35457233235934,,,,,
a14,rhf m06-2x,,"{'H': 'def2-svp', 'N': 'def2-svp', 'O': 'def2-svp', 'P': 'def2-svp', 'C': 'def2-svp'}",233,3806,6,1,1,,40,,-820.0789065057412,,,,,
a45,rhf m06-2x,,"{'C': 'def2-svp', 'P': 'def2-svp', 'H': 'def2-svp'}",314,4098,6,1,1,,84,,-1035.8069059684944,,,,,
a82,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",192,3236,6,0,1,,19,,-574.2225445813847,,,,,
a71,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",107,2717,6,1,1,,5,,-232.33717298687353,,,,,
a20,rhf m06-2x,,"{'C': 'def2-svp', 'Se': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",101,2042,6,1,1,,6,,-2556.5225171145917,,,,,
a30,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",56,1033,6,0,1,,3,,-153.62536234314746,,,,,
a61,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",287,3754,6,1,1,,66,,-653.4735217572824,,,,,
a55,rhf m06-2x,,"{'N': 'def2-svp', 'H': 'def2-svp'}",29,405,6,1,1,,1,,-109.71363044843278,,,,,
a6,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",71,1657,6,1,1,,3,,-155.2328050463625,,,,,
a86,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",56,1050,6,0,1,,2,,-153.64211848841902,,,,,
a24,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp'}",120,2812,6,0,1,,7,,-630.0261490039265,,,,,
a75,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",180,3480,6,0,1,,21,,-461.98722006387374,,,,,
a41,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",308,3811,6,1,1,,64,,-749.2509898138159,,,,,
a10,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",105,2929,6,1,1,,6,,-232.57347918642841,,,,,
a51,rhf m06-2x,,"{'C': 'def2-svp', 'P': 'def2-svp', 'H': 'def2-svp'}",170,3074,6,1,1,,17,,-579.037668479189,,,,,
a2,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",143,2129,6,1,1,,12,,-420.7470569391298,,,,,
a65,rhf m06-2x,,"{'C': 'def2-svp', 'Si': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",215,3221,6,0,1,,31,,-873.3459464853753,,,,,
a34,rhf m06-2x,,"{'H': 'def2-svp', 'O': 'def2-svp'}",22,360,6,0,1,,1,,-76.32979375514094,,,,,
a87,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",148,2297,6,0,1,,14,,-384.44510855190003,,,,,
a25,rhf m06-2x,,"{'P': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",76,1287,6,-1,1,,3,,-643.2307624281524,,,,,
a74,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",94,1772,6,0,1,,5,,-448.9710270902074,,,,,
a40,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",217,3713,6,1,1,,23,,-900.4805962076194,,,,,
a11,rhf m06-2x,,"{'C': 'def2-svp', 'S': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",89,1988,6,1,1,,4,,-553.2859866174391,,,,,
a50,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",122,3625,6,1,1,,9,,-287.8905810155392,,,,,
a3,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",141,2223,6,1,1,,12,,-346.74643930534916,,,,,
a64,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",119,3053,6,0,1,,7,,-287.2694451270318,,,,,
a35,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",44,796,6,0,1,,2,,-115.57572968640022,,,,,
a15,rhf m06-2x,,"{'C': 'def2-svp', 'F': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",89,1537,6,0,1,,4,,-526.2265840374148,,,,,
a44,rhf m06-2x,,"{'C': 'def2-svp', 'P': 'def2-svp', 'H': 'def2-svp'}",60,1152,6,1,1,,2,,-382.6929295240639,,,,,
a83,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",148,2309,6,0,1,,11,,-384.4312910060165,,,,,
a70,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp'}",49,983,6,1,1,,2,,-78.8420811220666,,,,,
a21,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",138,3515,6,0,1,,12,,-420.3496755250131,,,,,
a31,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",78,1758,6,0,1,,4,,-192.8963354371173,,,,,
a60,rhf m06-2x,,"{'N': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",29,407,6,0,1,,1,,-130.31753906896716,,,,,
a54,rhf m06-2x,,"{'C': 'def2-svp', 'N': 'def2-svp', 'H': 'def2-svp'}",146,2368,6,1,1,,10,,-326.9690701138922,,,,,
a7,rhf m06-2x,,"{'C': 'def2-svp', 'H': 'def2-svp', 'O': 'def2-svp'}",83,1980,6,1,1,,5,,-193.3254709387999,,,,,
